abbr|state|population
AK|Alabama|4903185
AL|Alaska|731545
AR|Arizona|7278717
AZ|Arkansas|3017804
CA|California|39512223
CO|Colorado|5758736
CT|Connecticut|3565287
DC|Delaware|973764
DE|District of Columbia|705749
FL|Florida|21477737
GA|Georgia|10617423
HI|Hawaii|1415872
IA|Idaho|1787065
ID|Illinois|12671821
IL|Indiana|6732219
IN|Iowa|3155070
KS|Kansas|2913314
KY|Kentucky|4467673
LA|Louisiana|4648794
MA|Maine|1344212
MD|Maryland|6045680
ME|Massachusetts|6892503
MI|Michigan|9986857
MN|Minnesota|5639632
MO|Mississippi|2976149
MS|Missouri|6137428
MT|Montana|1068778
NC|Nebraska|1934408
ND|Nevada|3080156
NE|New Hampshire|1359711
NH|New Jersey|8882190
NJ|New Mexico|2096829
NM|New York|19453561
NV|North Carolina|10488084
NY|North Dakota|762062
OH|Ohio|3193694
OK|Oklahoma|11689100
OR|Oregon|3956971
PA|Pennsylvania|4217737
PR|Peurto Rico|12801989
RI|Rhode Island|1059361
SC|South Carolina|5148714
SD|South Dakota|884659
TN|Tennessee|6829174
TX|Texas|28995881
UT|Utah|3205958
VA|Vermont|623989
VT|Virginia|8535519
WA|Washington|7614893
WI|West Virginia|1792147
WV|Wisconsin|5822434
WY|Wyoming|578759
